group_id,item_id,block,item,signal,sem_relatedness,phon_relatedness,path,image_file,thisN,thisTrialN,thisRepN,key_resp.keys,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,trial.started,text.started,text_2.started,text.stopped,text_2.stopped,image.started,key_resp.started,signal.started,image.stopped,signal.stopped,key_resp.stopped,trial.stopped,test.key_resp.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
8,8,go,basket,None,none,none,images/020 .bmp,020 .bmp,0,0,0,None,0,0,0,7,0.05329312497633509,,0.04892654099967331,0.05329312497633509,0.4881669159804005,0.5457124579988886,0.9783382079913281,0.9958562499959953,0.9958562499959953,1.3959840829775203,3.0040241249953397,3.0040241249953397,3.0040241249953397,2.9848510829906445,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
21,21,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,1,1,0,None,0,1,1,20,3.0040241249953397,,2.9989364159991965,3.0040241249953397,3.486808916000882,3.5003222079831176,3.9784780409827363,3.9958357909927145,3.9958357909927145,4.396006750001106,6.002520457986975,6.002520457986975,6.002520457986975,5.98663495798246,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
20,20,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,2,2,0,None,0,2,2,19,6.002520457986975,,6.000768790981965,6.002520457986975,6.487586374976672,6.500363915984053,6.983611707983073,6.990059582982212,6.990059582982212,7.39746512498823,8.978696790989488,9.012058124993928,8.978696790989488,8.99356762500247,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
1,1,go,apple,None,none,none,images/006 .bmp,006 .bmp,3,3,0,None,0,3,3,0,9.012058124993928,,9.010486499988474,9.012058124993928,9.497033583000302,9.509013624978252,9.995641165995039,9.995641165995039,9.995641165995039,10.398285832983674,11.991869541001506,12.010813624976436,11.991869541001506,11.993501374992775,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
2,2,go,apple,None,none,none,images/006 .bmp,006 .bmp,4,4,0,None,0,4,4,1,12.010813624976436,,12.008273249986814,12.010813624976436,12.491808624996338,12.50874945797841,12.988350290979724,12.9935498329869,12.9935498329869,13.393575207999675,14.997740332997637,14.997740332997637,14.997740332997637,14.981252665980719,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
5,5,go,apple,None,none,none,images/006 .bmp,006 .bmp,5,5,0,None,0,5,5,4,14.997740332997637,,14.99612412499846,14.997740332997637,15.49601583299227,15.49601583299227,15.990888332977192,15.990888332977192,15.990888332977192,16.393457500002114,17.98801058297977,18.007514665980125,17.98801058297977,17.990125124983024,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
22,22,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,6,6,0,None,0,6,6,21,18.007514665980125,,18.005894415982766,18.007514665980125,18.493581791000906,18.500827790994663,18.982555665977998,18.996025999978883,18.996025999978883,19.396054832992377,21.006518249982037,21.006518249982037,21.006518249982037,20.98964404099388,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
9,9,go,basket,None,none,none,images/020 .bmp,020 .bmp,7,7,0,None,0,7,7,8,21.006518249982037,,21.003862499987008,21.006518249982037,21.500077957985923,21.500077957985923,21.996011082985206,21.996011082985206,21.996011082985206,22.393449582974426,24.001172832999146,24.001172832999146,24.001172832999146,23.982499290985288,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
7,7,go,basket,None,none,none,images/020 .bmp,020 .bmp,8,8,0,None,0,8,8,6,24.001172832999146,,23.99906641599955,24.001172832999146,24.495965374982916,24.499479249992874,24.991055833001155,24.991055833001155,24.991055833001155,25.391554332978558,26.990434874984203,26.990434874984203,26.990434874984203,26.976444332976826,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
24,24,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,9,9,0,None,0,9,9,23,26.990434874984203,,26.98900641599903,27.004299082997022,27.491619832988363,27.491619832988363,27.988115957996342,27.99330354097765,27.99330354097765,28.399697082990315,29.987693415983813,30.011744874995202,29.987693415983813,29.98954391598818,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
19,19,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,10,10,0,None,0,10,10,18,30.011744874995202,,30.005239207996055,30.011744874995202,30.49058437498752,30.507243540982017,30.97828195799957,30.99530858299113,30.99530858299113,31.39754149998771,32.99203029097407,33.0132610409928,32.99203029097407,32.993909582990455,None,pilot,001,2025-11-21_10h47.55.557,untitled,,2025.1.1,None,2025-11-21 10h47.59.087209 -0800,
4,4,go,apple,None,none,none,images/006 .bmp,006 .bmp,11,11,0,,0,11,11,3,33.0132610409928,,33.01165170798777,33.0132610409928,33.52919412497431,33.52919412497431,,,,,,,,,,,,,,,,,,
