"analysis_type","n_subj","n_sims","n_converged","convergence_rate","power_phon","power_sem","power_interaction","power_valence","runtime_minutes","timestamp"
"2x2",30,1000,1000,1,0.927,0.057,0.049,NA,61.3332911849022,"2026-01-15 09:01:01"
"2x2",48,1000,1000,1,0.961,0.058,0.048,NA,156.721298384666,"2026-01-15 10:39:46"
"2x2",60,1000,1000,1,0.973,0.066,0.054,NA,131.858276005586,"2026-01-15 10:11:38"
"2x2",72,1000,1000,1,0.965,0.048,0.059,NA,167.226739819845,"2026-01-15 10:47:25"
"2x2",84,1000,1000,1,0.972,0.067,0.064,NA,210.572219244639,"2026-01-15 14:46:49"
"2x2",96,1000,1000,1,0.974,0.065,0.045,NA,295.748339251677,"2026-01-15 15:10:22"
"valence",30,1000,1000,1,NA,NA,NA,0.888,9.75187753836314,"2026-01-15 10:53:08"
"valence",48,1000,1000,1,NA,NA,NA,0.917,10.5114527821541,"2026-01-15 11:00:42"
"valence",60,1000,1000,1,NA,NA,NA,0.916,16.7393490990003,"2026-01-15 11:12:25"
"valence",72,1000,1000,1,NA,NA,NA,0.937,14.8534852107366,"2026-01-15 11:17:43"
"valence",84,1000,1000,1,NA,NA,NA,0.937,22.4448484738668,"2026-01-15 11:37:20"
"valence",96,1000,1000,1,NA,NA,NA,0.923,20.1608499566714,"2026-01-15 11:40:10"
